City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
faanui,2,PF,1619423380,66,-16.4833,-151.75,81.03,2.84
thompson,40,CA,1619423112,100,55.7435,-97.8558,23.0,3.36
bethel,1,US,1619423380,42,41.3712,-73.414,44.6,12.66
mahebourg,75,MU,1619423381,83,-20.4081,57.7,78.8,13.8
vaini,75,TO,1619423381,94,-21.2,-175.2,77.0,3.44
bredasdorp,75,ZA,1619423381,94,-34.5322,20.0403,53.6,3.44
sidi ali,17,DZ,1619423381,71,36.0998,0.4206,62.53,6.91
carnarvon,4,AU,1619423382,33,-24.8667,113.6333,87.8,9.22
ushuaia,100,AR,1619423293,91,-54.8,-68.3,41.11,3.76
lebu,8,CL,1619423382,93,-37.6167,-73.65,52.77,8.99
sumbe,75,AO,1619423382,76,-11.2061,13.8437,80.6,2.24
brae,40,GB,1619423382,93,60.3964,-1.353,44.6,4.61
berlevag,75,NO,1619423383,75,70.8578,29.0864,35.6,9.22
jati,0,PK,1619423383,15,24.3539,68.2671,103.91,10.58
albany,54,US,1619423383,56,42.6001,-73.9662,39.99,4.0
pevek,100,RU,1619423383,84,69.7008,170.3133,25.34,5.57
kavieng,95,PG,1619423383,72,-2.5744,150.7967,82.9,4.16
severo-yeniseyskiy,6,RU,1619423384,57,60.3725,93.0408,38.97,4.85
avarua,42,CK,1619423172,94,-21.2078,-159.775,73.4,1.14
yellowknife,40,CA,1619423285,72,62.456,-114.3525,3.2,10.36
russell,1,US,1619423101,87,32.3502,-85.1999,51.8,4.61
luanda,75,AO,1619423384,83,-8.8368,13.2343,82.4,2.3
karasjok,75,NO,1619423384,69,69.4719,25.5112,35.6,5.75
hithadhoo,8,MV,1619423086,66,-0.6,73.0833,82.96,4.68
noumea,40,NC,1619423384,88,-22.2763,166.4572,71.6,3.44
mataura,79,NZ,1619423385,81,-46.1927,168.8643,44.01,8.99
borba,99,BR,1619423385,98,-4.3878,-59.5939,74.16,1.92
barrow,1,US,1619423385,79,71.2906,-156.7887,17.6,13.8
necochea,0,AR,1619423385,95,-38.5473,-58.7368,53.01,0.81
gisborne,6,NZ,1619423386,63,-38.6533,178.0042,55.0,5.01
east london,0,ZA,1619423386,64,-33.0153,27.9116,69.8,2.3
atuona,100,PF,1619423386,70,-9.8,-139.0333,80.01,17.76
bluff,85,NZ,1619423386,81,-46.6,168.3333,44.01,8.99
busselton,100,AU,1619423387,56,-33.65,115.3333,73.99,5.77
nishihara,40,JP,1619423387,57,26.1842,127.7558,75.2,9.22
bixby,4,US,1619423387,77,35.942,-95.8833,63.0,3.0
praia da vitoria,75,PT,1619423387,94,38.7333,-27.0667,57.99,8.46
nikolskoye,90,RU,1619423388,93,59.7035,30.7861,41.0,11.18
port hardy,20,CA,1619423388,100,50.6996,-127.4199,46.4,3.44
severo-kurilsk,100,RU,1619423388,94,50.6789,156.125,30.61,16.24
qaanaaq,52,GL,1619423388,63,77.484,-69.3632,30.04,9.98
saint-francois,0,FR,1619423388,54,46.4154,3.9054,55.0,9.22
ribeira grande,40,PT,1619423389,77,38.5167,-28.7,59.0,8.05
butaritari,8,KI,1619423389,76,3.0707,172.7902,82.49,13.44
quatre cocos,75,MU,1619423389,83,-20.2078,57.7625,80.01,13.8
leh,0,IN,1619423157,24,34.1667,77.5833,45.3,2.48
guerrero negro,100,MX,1619423389,83,27.9769,-114.0611,57.54,9.66
kentau,7,KZ,1619423390,16,43.5206,68.5094,74.34,10.42
sinnamary,100,GF,1619423390,90,5.3833,-52.95,76.6,9.08
okha,5,RU,1619423390,63,53.5739,142.9478,31.33,5.82
jamestown,90,US,1619423390,86,42.097,-79.2353,30.99,6.91
yulara,0,AU,1619423391,18,-25.2406,130.9889,78.8,13.8
ashqelon,56,IL,1619423391,42,31.6693,34.5715,71.01,4.0
iquique,0,CL,1619423391,72,-20.2208,-70.1431,59.0,3.44
dongsheng,100,CN,1619423391,14,39.8161,109.9776,49.26,28.1
